trade_date,symbol,name,earnings_yield_pct,pe_zscore_5y,pb_zscore_5y,pe_percentile_5y,pb_percentile_5y,dividend_yield_percentile_5y,equity_risk_premium_pct,equity_bond_yield_ratio,dividend_bond_spread_pct,valuation_temperature
2026-05-22,000001,上证指数,0.7869,4.2021,0.9584,99.44,84.24,1.36,-0.965,0.4492,-0.5557,94.94
2026-05-22,000300,沪深300,4.5118,2.248,-1.0896,98.8,15.76,65.44,2.7599,2.5754,0.5038,57.26
2026-05-22,000688,科创50,0.7064,1.4173,0.0122,85.12,61.28,31.44,-1.0455,0.4032,-1.2209,69.78
2026-05-22,000852,中证1000,1.8174,2.1831,0.3022,96.56,57.44,50.56,0.0655,1.0374,-0.5524,66.92
2026-05-22,000905,中证500,2.9417,0.8146,1.6728,93.6,91.52,10.24,1.1898,1.6792,-0.1938,87.74
2026-05-22,000922,中证红利,8.4903,1.5312,-0.5771,93.2,27.84,5.12,6.7384,4.8464,2.4952,75.9
2026-05-22,000985,中证全指,0.8076,1.1043,1.3215,92.88,90.0,3.92,-0.9443,0.461,-0.7556,84.52
2026-05-22,399001,深证成指,1.9999,0.4073,0.529,96.8,68.96,33.04,0.248,1.1416,-0.3602,77.56
2026-05-22,399006,创业板指,1.3792,3.4532,0.6337,99.92,71.52,48.88,-0.3727,0.7872,-0.8757,77.06
2026-05-25,000001,上证指数,0.8053,4.0186,0.9579,98.96,84.24,1.44,-0.9431,0.4606,-0.5511,94.72
2026-05-25,000300,沪深300,4.499,2.2741,-1.0728,98.96,16.4,64.16,2.7506,2.5732,0.5036,57.86
2026-05-25,000688,科创50,0.6864,1.5108,0.0385,86.0,62.96,31.2,-1.062,0.3926,-1.2176,70.84
2026-05-25,000852,中证1000,1.8215,2.1629,0.3231,96.4,57.76,50.64,0.0731,1.0418,-0.5487,66.74
2026-05-25,000905,中证500,2.9359,0.8223,1.7537,93.68,92.32,9.92,1.1875,1.6792,-0.1972,88.06
2026-05-25,000922,中证红利,8.5029,1.516,-0.541,92.88,31.2,5.2,6.7545,4.8632,2.4992,76.44
2026-05-25,000985,中证全指,0.8173,1.0678,1.3046,91.76,89.36,4.4,-0.9311,0.4675,-0.7498,83.5
2026-05-25,399001,深证成指,1.9933,0.4119,0.5961,96.8,71.52,32.08,0.2449,1.14,-0.3614,78.48
2026-05-25,399006,创业板指,1.3676,3.5033,0.6464,99.92,72.08,48.56,-0.3808,0.7822,-0.8741,77.44
2026-05-26,000001,上证指数,0.7851,4.1554,0.8557,99.52,81.44,1.92,-0.9554,0.4511,-0.5385,94.06
2026-05-26,000300,沪深300,4.4461,2.4015,-1.0544,99.28,16.96,62.32,2.7056,2.5545,0.5025,58.94
2026-05-26,000688,科创50,0.6794,1.5436,-0.0002,86.32,60.48,31.12,-1.0611,0.3903,-1.2098,70.26
2026-05-26,000852,中证1000,1.8207,2.1643,0.2753,96.48,55.92,51.2,0.0802,1.0461,-0.5369,66.02
2026-05-26,000905,中证500,2.9152,0.8507,1.7563,94.8,92.56,9.44,1.1747,1.6749,-0.1938,88.66
2026-05-26,000922,中证红利,8.4864,1.5313,-0.5541,93.28,29.92,5.04,6.7459,4.8758,2.5053,76.38
2026-05-26,000985,中证全指,0.807,1.1035,1.1894,92.88,86.56,5.84,-0.9335,0.4636,-0.7351,82.82
2026-05-26,399001,深证成指,1.967,0.4314,0.5893,96.8,71.28,31.6,0.2265,1.1301,-0.3542,78.74
2026-05-26,399006,创业板指,1.3618,3.5218,0.6127,99.92,71.04,49.2,-0.3787,0.7824,-0.8623,76.98
2026-05-27,000001,上证指数,0.7921,4.0657,0.6538,99.12,74.0,3.92,-0.9295,0.4601,-0.5025,91.52
2026-05-27,000300,沪深300,4.4831,2.301,-1.1298,98.96,14.16,65.6,2.7615,2.604,0.536,56.86
